date,district,temperature_c,rainfall_mm,humidity_pct
2018-03-05,Bulawayo,22.87,11.512,77.58
2018-03-06,Bulawayo,24.31,3.318,63.59
2018-03-07,Bulawayo,25.4,2.459,51.49
2018-03-08,Bulawayo,24.36,10.886,70.26
2018-03-09,Bulawayo,26.2,6.549,64.91
2018-03-10,Bulawayo,24.88,3.92,51.21
2018-03-11,Bulawayo,24.43,16.108,67.69
2018-03-12,Bulawayo,22.88,25.102,70.96
2018-03-13,Bulawayo,23.36,2.501,50.31
2018-03-14,Bulawayo,23.9,4.38,69.68
2018-03-15,Bulawayo,25.14,23.757,80.65
2018-03-16,Bulawayo,23.18,4.771,51.73
2018-03-17,Bulawayo,24.07,2.488,47.15
2018-03-18,Bulawayo,23.36,27.974,80.29
2018-03-19,Bulawayo,23.36,6.378,58.93
2018-03-20,Bulawayo,23.62,5.619,48.12
2018-03-21,Bulawayo,25.03,7.163,68.27
2018-03-22,Bulawayo,25.51,7.318,72.74
2018-03-23,Bulawayo,24.79,8.673,63.16
2018-03-24,Bulawayo,23.61,21.409,72.25
2018-03-25,Bulawayo,25.1,5.986,55.13
2018-03-26,Bulawayo,25.29,28.919,68.43
2018-03-27,Bulawayo,23.92,173.62,82.36
2018-03-28,Bulawayo,26.15,45.107,77.39
2018-03-29,Bulawayo,25.88,7.565,58.99
2018-03-30,Bulawayo,26.08,8.162,66.24
2018-03-31,Bulawayo,25.55,64.701,86.58
2018-04-01,Bulawayo,23.6,13.556,67.08
2018-04-02,Bulawayo,27.39,74.739,83.41
2018-04-03,Bulawayo,27.6,50.036,78.95
2018-04-04,Bulawayo,27.53,46.083,69.74
2018-04-05,Bulawayo,25.6,27.052,73.72
2018-04-06,Bulawayo,21.96,52.413,80.44
2018-04-07,Bulawayo,23.97,42.126,72.48
2018-04-08,Bulawayo,27.0,0.953,37.37
2018-04-09,Bulawayo,24.6,27.012,78.28
2018-04-10,Bulawayo,26.34,12.105,51.83
2018-04-11,Bulawayo,28.28,63.619,68.07
2018-04-12,Bulawayo,27.21,37.524,77.27
2018-04-13,Bulawayo,26.61,37.284,73.29
2018-04-14,Bulawayo,27.58,66.706,82.08
2018-04-15,Bulawayo,25.22,93.286,74.99
2018-04-16,Bulawayo,24.16,7.4,58.62
2018-04-17,Bulawayo,25.49,23.072,73.71
2018-04-18,Bulawayo,26.03,27.208,66.74
2018-04-19,Bulawayo,23.86,25.064,67.1
2018-04-20,Bulawayo,26.17,82.044,79.39
2018-04-21,Bulawayo,25.89,27.776,72.1
2018-04-22,Bulawayo,27.09,52.69,75.1
2018-04-23,Bulawayo,27.12,75.391,74.18
2018-04-24,Bulawayo,24.74,40.462,78.66
2018-04-25,Bulawayo,27.49,85.246,70.55
2018-04-26,Bulawayo,26.14,51.595,80.11
2018-04-27,Bulawayo,27.25,74.885,75.72
2018-04-28,Bulawayo,28.16,41.268,79.34
2018-04-29,Bulawayo,28.55,42.192,81.14
2018-04-30,Bulawayo,28.85,42.362,80.6
2018-05-01,Bulawayo,26.21,0.418,45.53
2018-05-02,Bulawayo,28.09,2.737,53.43
2018-05-03,Bulawayo,28.13,0.278,43.16
2018-05-04,Bulawayo,26.48,0.28,40.72
2018-05-05,Bulawayo,26.7,0.456,42.01
2018-05-06,Bulawayo,22.88,0.541,38.69
2018-05-07,Bulawayo,28.38,0.09,38.17
2018-05-08,Bulawayo,25.84,0.277,44.26
2018-05-09,Bulawayo,24.32,2.031,53.5
2018-05-10,Bulawayo,25.14,0.515,41.09
2018-05-11,Bulawayo,26.62,0.218,43.9
2018-05-12,Bulawayo,30.99,1.726,41.42
2018-05-13,Bulawayo,24.01,0.605,56.69
2018-05-14,Bulawayo,25.92,0.441,42.26
2018-05-15,Bulawayo,26.7,1.365,55.1
2018-05-16,Bulawayo,29.76,0.28,48.91
2018-05-17,Bulawayo,27.87,0.36,40.67
2018-05-18,Bulawayo,28.1,1.109,55.32
2018-05-19,Bulawayo,25.69,1.165,47.08
2018-05-20,Bulawayo,28.37,1.167,46.86
2018-05-21,Bulawayo,26.43,0.352,47.33
2018-05-22,Bulawayo,26.82,0.161,48.27
2018-05-23,Bulawayo,27.02,1.589,44.54
2018-05-24,Bulawayo,29.94,0.322,43.5
2018-05-25,Bulawayo,30.76,0.739,36.6
2018-05-26,Bulawayo,28.57,0.288,48.32
2018-05-27,Bulawayo,28.48,0.37,33.98
2018-05-28,Bulawayo,23.8,1.282,49.95
2018-05-29,Bulawayo,27.15,0.319,33.48
2018-05-30,Bulawayo,26.15,0.755,45.24
2018-05-31,Bulawayo,26.05,1.016,46.04
2018-06-01,Bulawayo,27.46,0.452,44.39
2018-06-02,Bulawayo,24.15,0.07,37.51
2018-06-03,Bulawayo,25.95,0.969,34.43
2018-06-04,Bulawayo,29.23,1.505,43.65
2018-06-05,Bulawayo,26.6,0.128,39.25
2018-06-06,Bulawayo,25.07,0.849,54.42
2018-06-07,Bulawayo,26.79,0.005,50.52
2018-06-08,Bulawayo,26.09,0.643,51.64
2018-06-09,Bulawayo,23.74,1.411,48.83
2018-06-10,Bulawayo,27.19,0.338,45.44
2018-06-11,Bulawayo,26.9,0.597,41.25
2018-06-12,Bulawayo,28.74,0.458,42.0
2018-06-13,Bulawayo,28.04,0.482,49.55
2018-06-14,Bulawayo,23.84,0.322,44.29
2018-06-15,Bulawayo,26.86,0.402,42.85
2018-06-16,Bulawayo,26.83,0.329,45.53
2018-06-17,Bulawayo,26.33,0.175,40.26
2018-06-18,Bulawayo,27.2,0.648,46.11
2018-06-19,Bulawayo,25.88,0.047,47.38
2018-06-20,Bulawayo,27.35,0.428,45.37
2018-06-21,Bulawayo,27.87,0.125,39.92
2018-06-22,Bulawayo,29.63,0.184,54.05
2018-06-23,Bulawayo,24.79,0.698,41.38
2018-06-24,Bulawayo,24.05,0.169,40.2
2018-06-25,Bulawayo,26.14,0.098,38.39
2018-06-26,Bulawayo,28.04,0.525,42.51
2018-06-27,Bulawayo,26.46,0.359,44.03
2018-06-28,Bulawayo,25.66,0.107,41.0
2018-06-29,Bulawayo,25.51,0.268,50.43
2018-06-30,Bulawayo,27.07,0.374,33.98
2018-07-01,Bulawayo,21.9,0.497,42.75
2018-07-02,Bulawayo,26.67,0.312,40.81
2018-07-03,Bulawayo,25.08,0.011,40.54
2018-07-04,Bulawayo,24.02,0.199,41.12
2018-07-05,Bulawayo,22.71,0.041,39.55
2018-07-06,Bulawayo,25.87,0.458,40.97
2018-07-07,Bulawayo,25.26,0.389,44.56
2018-07-08,Bulawayo,23.78,0.889,48.42
2018-07-09,Bulawayo,25.85,0.222,45.71
2018-07-10,Bulawayo,24.95,0.161,48.55
2018-07-11,Bulawayo,27.35,0.219,43.69
2018-07-12,Bulawayo,22.51,0.213,48.85
2018-07-13,Bulawayo,26.27,0.033,42.99
2018-07-14,Bulawayo,23.9,0.002,39.55
2018-07-15,Bulawayo,21.66,0.625,55.8
2018-07-16,Bulawayo,24.46,0.142,41.06
2018-07-17,Bulawayo,23.9,0.213,39.6
2018-07-18,Bulawayo,21.01,0.289,50.25
2018-07-19,Bulawayo,22.62,0.546,51.44
2018-07-20,Bulawayo,23.13,0.865,67.53
2018-07-21,Bulawayo,25.16,0.084,45.07
2018-07-22,Bulawayo,25.3,0.039,31.62
2018-07-23,Bulawayo,24.95,0.046,38.87
2018-07-24,Bulawayo,26.44,0.127,44.86
2018-07-25,Bulawayo,23.48,0.208,40.72
2018-07-26,Bulawayo,21.06,0.1,44.02
2018-07-27,Bulawayo,25.5,0.586,42.91
2018-07-28,Bulawayo,23.63,0.134,34.15
2018-07-29,Bulawayo,25.57,0.569,34.34
2018-07-30,Bulawayo,21.43,0.763,43.96
2018-07-31,Bulawayo,22.26,0.067,42.19
2018-08-01,Bulawayo,19.87,0.041,46.23
2018-08-02,Bulawayo,23.06,0.163,50.73
2018-08-03,Bulawayo,22.1,0.309,43.99
2018-08-04,Bulawayo,23.15,0.032,40.7
2018-08-05,Bulawayo,25.35,0.625,44.07
2018-08-06,Bulawayo,21.62,0.083,45.4
2018-08-07,Bulawayo,20.44,0.445,43.11
2018-08-08,Bulawayo,20.67,0.454,39.33
2018-08-09,Bulawayo,22.03,0.204,40.37
2018-08-10,Bulawayo,19.39,0.288,38.04
2018-08-11,Bulawayo,21.73,0.399,43.13
2018-08-12,Bulawayo,23.73,0.471,49.94
2018-08-13,Bulawayo,21.57,0.351,44.44
2018-08-14,Bulawayo,23.96,0.58,48.1
2018-08-15,Bulawayo,20.86,0.473,41.66
2018-08-16,Bulawayo,22.74,1.275,43.39
2018-08-17,Bulawayo,21.0,0.081,35.95
2018-08-18,Bulawayo,22.28,0.548,47.24
2018-08-19,Bulawayo,21.89,0.843,46.38
2018-08-20,Bulawayo,19.89,0.008,40.17
2018-08-21,Bulawayo,20.26,0.081,39.09
2018-08-22,Bulawayo,20.57,0.398,38.42
2018-08-23,Bulawayo,22.91,0.08,41.28
2018-08-24,Bulawayo,22.26,0.289,34.67
2018-08-25,Bulawayo,20.8,0.105,30.64
2018-08-26,Bulawayo,19.61,0.437,37.95
2018-08-27,Bulawayo,23.12,0.747,50.02
2018-08-28,Bulawayo,21.8,0.113,41.02
2018-08-29,Bulawayo,23.22,0.052,40.07
2018-08-30,Bulawayo,19.32,0.164,43.37
2018-08-31,Bulawayo,22.56,0.112,38.24
2018-09-01,Bulawayo,19.79,1.568,47.41
2018-09-02,Bulawayo,21.75,0.412,32.4
2018-09-03,Bulawayo,18.04,0.361,45.02
2018-09-04,Bulawayo,17.12,0.094,35.65
2018-09-05,Bulawayo,18.7,0.249,42.51
2018-09-06,Bulawayo,19.22,0.672,40.05
2018-09-07,Bulawayo,19.74,1.049,47.16
2018-09-08,Bulawayo,19.75,0.467,43.17
2018-09-09,Bulawayo,21.27,0.126,40.9
2018-09-10,Bulawayo,19.03,0.17,44.55
2018-09-11,Bulawayo,18.53,0.12,54.83
2018-09-12,Bulawayo,19.49,0.257,45.22
2018-09-13,Bulawayo,22.88,0.526,53.3
2018-09-14,Bulawayo,16.88,0.394,42.59
2018-09-15,Bulawayo,20.25,0.077,46.71
2018-09-16,Bulawayo,18.57,0.416,48.34
2018-09-17,Bulawayo,20.11,0.176,38.05
2018-09-18,Bulawayo,20.31,0.031,41.48
2018-09-19,Bulawayo,19.45,0.253,45.83
2018-09-20,Bulawayo,17.68,0.086,40.78
2018-09-21,Bulawayo,17.95,0.982,56.01
2018-09-22,Bulawayo,18.96,0.154,35.48
2018-09-23,Bulawayo,20.63,0.113,44.98
2018-09-24,Bulawayo,18.84,0.446,39.16
2018-09-25,Bulawayo,19.19,0.063,41.83
2018-09-26,Bulawayo,16.07,0.613,52.46
2018-09-27,Bulawayo,17.0,0.628,37.03
2018-09-28,Bulawayo,18.79,0.065,39.05
2018-09-29,Bulawayo,17.87,0.318,50.73
2018-09-30,Bulawayo,21.07,0.196,35.26
2018-10-01,Bulawayo,20.21,0.241,43.78
2018-10-02,Bulawayo,18.99,0.217,45.11
2018-10-03,Bulawayo,19.46,0.297,44.51
2018-10-04,Bulawayo,19.8,0.051,37.9
2018-10-05,Bulawayo,16.19,0.146,41.91
2018-10-06,Bulawayo,17.83,1.025,54.45
2018-10-07,Bulawayo,16.24,0.336,50.99
2018-10-08,Bulawayo,17.6,0.048,39.51
2018-10-09,Bulawayo,19.07,0.117,39.9
2018-10-10,Bulawayo,18.04,0.422,44.83
2018-10-11,Bulawayo,19.09,0.034,49.17
2018-10-12,Bulawayo,17.21,0.183,43.79
2018-10-13,Bulawayo,17.46,0.551,45.41
2018-10-14,Bulawayo,15.96,0.611,41.86
2018-10-15,Bulawayo,17.23,1.136,51.08
2018-10-16,Bulawayo,19.29,0.333,41.41
2018-10-17,Bulawayo,14.56,0.57,39.36
2018-10-18,Bulawayo,18.05,0.618,39.85
2018-10-19,Bulawayo,17.78,0.591,31.52
2018-10-20,Bulawayo,19.17,0.188,40.26
2018-10-21,Bulawayo,18.0,0.067,32.5
2018-10-22,Bulawayo,20.68,0.443,47.96
2018-10-23,Bulawayo,16.97,0.533,42.62
2018-10-24,Bulawayo,18.47,0.156,45.76
2018-10-25,Bulawayo,17.78,0.276,38.49
2018-10-26,Bulawayo,17.9,0.52,44.65
2018-10-27,Bulawayo,18.1,0.061,39.82
2018-10-28,Bulawayo,16.99,0.378,46.76
2018-10-29,Bulawayo,15.81,0.107,37.05
2018-10-30,Bulawayo,20.25,0.061,50.09
2018-10-31,Bulawayo,16.9,0.173,49.17
2018-11-01,Bulawayo,15.76,0.779,47.41
2018-11-02,Bulawayo,17.18,0.101,41.68
2018-11-03,Bulawayo,18.54,0.019,45.82
2018-11-04,Bulawayo,16.61,0.167,34.29
2018-11-05,Bulawayo,16.56,0.25,40.47
2018-11-06,Bulawayo,17.23,0.167,42.76
2018-11-07,Bulawayo,18.65,0.159,35.33
2018-11-08,Bulawayo,16.72,0.378,48.74
2018-11-09,Bulawayo,19.75,0.136,32.89
2018-11-10,Bulawayo,19.76,0.038,40.26
2018-11-11,Bulawayo,15.78,0.01,37.26
2018-11-12,Bulawayo,14.91,2.081,47.92
2018-11-13,Bulawayo,16.71,0.015,39.35
2018-11-14,Bulawayo,17.53,0.27,46.6
2018-11-15,Bulawayo,16.59,0.087,46.0
2018-11-16,Bulawayo,17.17,0.445,33.92
2018-11-17,Bulawayo,17.18,0.166,46.91
2018-11-18,Bulawayo,18.7,0.149,41.37
2018-11-19,Bulawayo,13.92,0.147,41.82
2018-11-20,Bulawayo,17.99,0.592,45.4
2018-11-21,Bulawayo,20.64,0.145,38.41
2018-11-22,Bulawayo,16.34,0.124,43.97
2018-11-23,Bulawayo,16.63,0.161,46.89
2018-11-24,Bulawayo,16.09,0.082,45.81
2018-11-25,Bulawayo,19.05,0.315,49.41
2018-11-26,Bulawayo,16.51,0.294,34.32
2018-11-27,Bulawayo,17.79,0.291,42.94
2018-11-28,Bulawayo,16.48,0.707,45.92
2018-11-29,Bulawayo,13.61,0.011,41.33
2018-11-30,Bulawayo,16.91,0.97,54.12
2018-12-01,Bulawayo,16.15,0.447,43.2
2018-12-02,Bulawayo,16.48,0.068,47.76
2018-12-03,Bulawayo,20.05,0.391,36.25
2018-12-04,Bulawayo,15.09,0.089,38.49
2018-12-05,Bulawayo,17.45,0.239,35.14
2018-12-06,Bulawayo,16.24,0.09,37.39
2018-12-07,Bulawayo,16.58,0.145,43.22
2018-12-08,Bulawayo,17.97,0.163,41.9
2018-12-09,Bulawayo,17.72,0.027,33.94
2018-12-10,Bulawayo,17.26,0.124,45.2
2018-12-11,Bulawayo,17.99,0.156,43.92
2018-12-12,Bulawayo,17.09,0.073,41.72
2018-12-13,Bulawayo,15.15,0.137,43.85
2018-12-14,Bulawayo,17.63,0.072,45.98
2018-12-15,Bulawayo,15.2,0.02,29.8
2018-12-16,Bulawayo,14.41,0.167,36.08
2018-12-17,Bulawayo,15.67,0.161,46.82
2018-12-18,Bulawayo,17.95,0.459,40.22
2018-12-19,Bulawayo,17.93,0.529,41.32
2018-12-20,Bulawayo,17.18,0.505,45.24
2018-12-21,Bulawayo,17.88,0.77,44.27
2018-12-22,Bulawayo,19.56,0.963,42.74
2018-12-23,Bulawayo,15.3,0.075,42.82
2018-12-24,Bulawayo,18.2,0.212,35.17
2018-12-25,Bulawayo,18.35,0.984,42.25
2018-12-26,Bulawayo,16.08,0.04,26.33
2018-12-27,Bulawayo,19.44,1.252,46.17
2018-12-28,Bulawayo,17.07,0.292,45.86
2018-12-29,Bulawayo,17.4,0.264,42.28
2018-12-30,Bulawayo,15.96,0.278,44.62
2018-12-31,Bulawayo,17.06,0.274,42.59
2019-01-01,Bulawayo,20.57,0.406,48.11
2019-01-02,Bulawayo,17.84,0.141,46.94
2019-01-03,Bulawayo,19.13,0.26,41.42
2019-01-04,Bulawayo,19.25,0.018,31.31
2019-01-05,Bulawayo,19.07,0.009,42.36
2019-01-06,Bulawayo,21.3,0.293,36.73
2019-01-07,Bulawayo,20.67,0.451,50.22
2019-01-08,Bulawayo,17.93,0.941,43.13
2019-01-09,Bulawayo,16.96,0.066,38.13
2019-01-10,Bulawayo,19.84,0.188,46.27
2019-01-11,Bulawayo,18.15,0.429,43.49
2019-01-12,Bulawayo,18.27,0.167,39.48
2019-01-13,Bulawayo,17.92,0.492,41.16
2019-01-14,Bulawayo,20.09,0.06,40.2
2019-01-15,Bulawayo,22.04,0.255,46.41
2019-01-16,Bulawayo,20.74,0.119,38.96
2019-01-17,Bulawayo,17.92,0.071,38.38
2019-01-18,Bulawayo,20.54,0.274,41.55
2019-01-19,Bulawayo,19.65,0.212,47.35
2019-01-20,Bulawayo,20.05,0.396,44.89
2019-01-21,Bulawayo,18.52,0.077,43.56
2019-01-22,Bulawayo,19.68,0.278,53.14
2019-01-23,Bulawayo,16.58,0.204,48.46
2019-01-24,Bulawayo,21.3,0.098,42.0
2019-01-25,Bulawayo,20.16,0.487,41.23
2019-01-26,Bulawayo,20.25,0.421,52.84
2019-01-27,Bulawayo,19.67,0.175,38.34
2019-01-28,Bulawayo,19.82,1.627,52.85
2019-01-29,Bulawayo,19.7,0.462,39.91
2019-01-30,Bulawayo,20.07,0.202,48.85
2019-01-31,Bulawayo,21.86,0.004,43.21
2019-02-01,Bulawayo,21.04,0.27,47.99
2019-02-02,Bulawayo,18.81,0.213,39.48
2019-02-03,Bulawayo,19.14,0.197,37.7
2019-02-04,Bulawayo,20.91,0.381,47.82
2019-02-05,Bulawayo,19.89,0.251,38.86
2019-02-06,Bulawayo,22.29,0.04,37.22
2019-02-07,Bulawayo,20.07,0.282,37.43
2019-02-08,Bulawayo,19.79,0.067,40.32
2019-02-09,Bulawayo,22.23,0.099,39.34
2019-02-10,Bulawayo,19.17,0.024,38.64
2019-02-11,Bulawayo,22.0,0.204,38.59
2019-02-12,Bulawayo,21.42,0.666,43.82
2019-02-13,Bulawayo,21.59,0.313,43.19
2019-02-14,Bulawayo,20.68,0.138,47.61
2019-02-15,Bulawayo,20.83,0.103,35.92
2019-02-16,Bulawayo,20.91,0.59,41.18
2019-02-17,Bulawayo,25.04,0.559,38.92
2019-02-18,Bulawayo,22.38,0.379,46.54
2019-02-19,Bulawayo,20.91,1.362,47.39
2019-02-20,Bulawayo,25.21,0.488,36.55
2019-02-21,Bulawayo,22.31,0.953,43.01
2019-02-22,Bulawayo,20.75,2.024,56.13
2019-02-23,Bulawayo,22.97,2.59,50.36
2019-02-24,Bulawayo,21.77,1.076,50.03
2019-02-25,Bulawayo,24.27,2.468,50.61
2019-02-26,Bulawayo,22.14,2.986,53.11
2019-02-27,Bulawayo,19.99,0.098,40.96
2019-02-28,Bulawayo,22.63,1.469,42.52
2019-03-01,Bulawayo,23.6,2.481,52.44
2019-03-02,Bulawayo,23.95,8.347,66.56
2019-03-03,Bulawayo,24.3,0.737,52.86
2019-03-04,Bulawayo,24.01,17.011,69.61
2019-03-05,Bulawayo,24.24,29.595,74.45
2019-03-06,Bulawayo,21.41,1.545,36.93
2019-03-07,Bulawayo,25.68,0.724,45.15
2019-03-08,Bulawayo,23.59,7.58,62.86
2019-03-09,Bulawayo,24.41,7.312,70.35
2019-03-10,Bulawayo,23.96,10.455,59.26
2019-03-11,Bulawayo,23.76,0.405,48.86
2019-03-12,Bulawayo,23.96,9.379,67.71
2019-03-13,Bulawayo,24.9,25.144,72.94
2019-03-14,Bulawayo,25.81,0.049,51.83
2019-03-15,Bulawayo,26.37,4.487,62.46
2019-03-16,Bulawayo,26.21,1.014,44.31
2019-03-17,Bulawayo,24.63,29.695,74.01
2019-03-18,Bulawayo,25.09,25.667,69.37
2019-03-19,Bulawayo,25.76,8.707,71.53
2019-03-20,Bulawayo,25.32,16.693,78.58
2019-03-21,Bulawayo,26.07,16.206,63.54
2019-03-22,Bulawayo,24.3,12.146,64.36
2019-03-23,Bulawayo,23.87,28.227,69.83
2019-03-24,Bulawayo,26.32,31.511,69.05
2019-03-25,Bulawayo,24.94,8.97,73.86
2019-03-26,Bulawayo,24.58,4.188,54.53
2019-03-27,Bulawayo,22.77,27.455,66.91
2019-03-28,Bulawayo,26.01,9.882,67.57
2019-03-29,Bulawayo,27.84,25.07,73.95
2019-03-30,Bulawayo,22.64,8.822,66.89
2019-03-31,Bulawayo,24.54,42.635,71.15
2019-04-01,Bulawayo,26.2,48.101,79.85
2019-04-02,Bulawayo,25.22,3.362,58.42
2019-04-03,Bulawayo,27.51,34.013,71.8
2019-04-04,Bulawayo,25.1,37.831,70.42
2019-04-05,Bulawayo,25.62,20.25,71.94
2019-04-06,Bulawayo,24.42,24.863,63.56
2019-04-07,Bulawayo,27.2,13.613,64.13
2019-04-08,Bulawayo,25.37,30.991,72.43
2019-04-09,Bulawayo,25.38,30.376,75.55
2019-04-10,Bulawayo,27.43,7.436,68.91
2019-04-11,Bulawayo,25.56,17.061,69.37
2019-04-12,Bulawayo,27.19,68.053,70.83
2019-04-13,Bulawayo,25.61,36.821,72.28
2019-04-14,Bulawayo,26.97,245.001,92.69
2019-04-15,Bulawayo,24.76,68.55,81.42
2019-04-16,Bulawayo,24.87,28.385,74.75
2019-04-17,Bulawayo,25.75,61.775,72.67
2019-04-18,Bulawayo,27.75,8.872,54.9
2019-04-19,Bulawayo,27.72,15.188,80.02
2019-04-20,Bulawayo,24.09,5.125,59.77
2019-04-21,Bulawayo,25.84,27.616,75.24
2019-04-22,Bulawayo,25.56,45.187,79.02
2019-04-23,Bulawayo,27.39,151.134,77.06
2019-04-24,Bulawayo,25.19,268.082,79.87
2019-04-25,Bulawayo,27.1,33.829,75.99
2019-04-26,Bulawayo,29.49,47.107,76.14
2019-04-27,Bulawayo,25.82,53.557,74.0
2019-04-28,Bulawayo,24.51,54.171,81.19
2019-04-29,Bulawayo,27.35,19.279,77.32
2019-04-30,Bulawayo,28.17,12.492,64.89
2019-05-01,Bulawayo,25.06,0.98,44.06
2019-05-02,Bulawayo,26.78,0.293,42.03
2019-05-03,Bulawayo,23.74,1.754,45.69
2019-05-04,Bulawayo,28.32,1.319,39.81
2019-05-05,Bulawayo,25.93,0.662,50.38
2019-05-06,Bulawayo,29.85,1.373,54.69
2019-05-07,Bulawayo,25.99,0.689,40.57
2019-05-08,Bulawayo,24.75,0.724,50.11
2019-05-09,Bulawayo,27.16,2.729,64.84
2019-05-10,Bulawayo,26.92,0.478,34.35
2019-05-11,Bulawayo,26.1,0.039,33.66
2019-05-12,Bulawayo,26.55,1.681,52.13
2019-05-13,Bulawayo,28.76,1.225,47.14
2019-05-14,Bulawayo,24.68,0.469,50.58
2019-05-15,Bulawayo,25.22,0.015,33.83
2019-05-16,Bulawayo,26.75,1.383,46.51
2019-05-17,Bulawayo,26.72,1.579,53.24
2019-05-18,Bulawayo,25.45,1.3,50.97
2019-05-19,Bulawayo,26.81,0.844,41.67
2019-05-20,Bulawayo,26.92,1.0,50.25
2019-05-21,Bulawayo,27.45,0.418,45.9
2019-05-22,Bulawayo,25.68,0.299,44.49
2019-05-23,Bulawayo,23.62,0.314,35.18
2019-05-24,Bulawayo,25.4,0.822,43.6
2019-05-25,Bulawayo,24.85,0.583,51.47
2019-05-26,Bulawayo,29.53,0.438,47.5
2019-05-27,Bulawayo,27.79,2.721,43.96
2019-05-28,Bulawayo,28.62,0.549,47.85
2019-05-29,Bulawayo,27.97,1.494,44.44
2019-05-30,Bulawayo,28.63,0.255,38.12
2019-05-31,Bulawayo,26.26,0.533,36.16
2019-06-01,Bulawayo,28.18,0.065,40.04
2019-06-02,Bulawayo,25.25,0.881,44.32
2019-06-03,Bulawayo,26.46,0.135,48.68
2019-06-04,Bulawayo,27.02,0.824,39.04
2019-06-05,Bulawayo,26.36,0.131,44.26
2019-06-06,Bulawayo,26.49,0.291,33.98
2019-06-07,Bulawayo,24.65,1.301,51.68
2019-06-08,Bulawayo,27.34,0.287,43.3
2019-06-09,Bulawayo,28.66,0.729,40.51
2019-06-10,Bulawayo,27.49,0.243,44.93
2019-06-11,Bulawayo,25.74,0.152,40.51
2019-06-12,Bulawayo,26.7,0.791,48.78
2019-06-13,Bulawayo,27.26,0.265,44.29
2019-06-14,Bulawayo,25.88,0.624,54.08
2019-06-15,Bulawayo,26.67,0.456,52.91
2019-06-16,Bulawayo,24.46,0.187,42.64
2019-06-17,Bulawayo,25.44,0.295,40.77
2019-06-18,Bulawayo,26.41,0.126,44.01
2019-06-19,Bulawayo,27.75,0.257,44.53
2019-06-20,Bulawayo,23.84,0.836,46.32
